Fecha;Origen - Base de datos;Comprobante;Item - Cantidad;Artículo - Código;Artículo;Item - Monto sin impuestos;Item - Monto con impuestos;Item - Descuento sin impuestos;Item - Descuento con impuestos;Item - Monto Neto sin impuestos;Item - Monto Neto
9/11/24;CORDOBA2;FEN B 0040-00001222;1;201;201 Spray para Peinar Atomiza.x150;7550,4132;9136;0;0;7550,4132;9136
6/11/24;CORDOBA2;FEN B 0040-00001209;1;845;845 cristales liquidos;14052,8926;17004;0;0;14052,8926;17004
6/11/24;CORDOBA2;FEN B 0040-00001208;1;845;845 cristales liquidos;14052,8926;17004;0;0;14052,8926;17004
13/11/24;CORDOBA2;FEN B 0040-00001238;1;845;845 cristales liquidos;14052,8926;17004;0;0;14052,8926;17004
19/11/24;CORDOBA2;FEN B 0040-00001268;1;845;845 cristales liquidos;14052,8926;17004;0;0;14052,8926;17004
23/11/24;CORDOBA2;FEN B 0040-00001279;1;845;845 cristales liquidos;14052,8926;17004;1405,2893;1700,4;12647,6033;15303,6
27/11/24;CORDOBA2;FEN B 0040-00001304;1;845;845 cristales liquidos;14052,8926;17004;1405,2893;1700,4;12647,6033;15303,6
29/11/24;CORDOBA2;FEN B 0040-00001315;1;845;845 cristales liquidos;14052,8926;17004;1405,2893;1700,4;12647,6033;15303,6
30/11/24;CORDOBA2;FEN B 0040-00001319;1;845;845 cristales liquidos;14052,8926;17004;1405,2893;1700,4;12647,6033;15303,6
22/11/24;CORDOBA2;FEN B 0040-00001278;1;602;602 Balsam Renovación Celular x200;7339,6694;8881;0;0;7339,6694;8881
25/11/24;CORDOBA2;FEN B 0040-00001296;1;602;602 Balsam Renovación Celular x200;7339,6694;8881;0;0;7339,6694;8881
24/11/24;CORDOBA2;FEN B 0040-00001289;1;272;272 Champú Hidrata. Intensa x400ml;12323,9669;14912;0;0;12323,9669;14912
1/11/24;CORDOBA2;FEN B 0040-00001184;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;0;0;10344,6281;12517
4/11/24;CORDOBA2;FEN B 0040-00001195;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;2586,157;3129,25;7758,4711;9387,75
5/11/24;CORDOBA2;FEN B 0040-00001196;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;2586,157;3129,25;7758,4711;9387,75
5/11/24;CORDOBA2;FEN B 0040-00001199;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;2586,157;3129,25;7758,4711;9387,75
6/11/24;CORDOBA2;FEN B 0040-00001209;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;2586,157;3129,25;7758,4711;9387,75
7/11/24;CORDOBA2;FEN B 0040-00001210;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;0;0;10344,6281;12517
24/11/24;CORDOBA2;FEN B 0040-00001292;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;2068,9256;2503,4;8275,7025;10013,6
25/11/24;CORDOBA2;FEN B 0040-00001295;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;2586,157;3129,25;7758,4711;9387,75
